id,title_english,title_romaji,genres,averageScore,format,popularity,title
2800,Candy Candy,Candy Candy,Drama Slice of Life,73.0,TV,7573,Candy Candy
2816,Fighting General Daimos,Toushou Daimos,Adventure Drama Mecha Romance Sci-Fi,68.0,TV,1771,Fighting General Daimos
2828,Nobody's Boy Remi,Ie Naki Ko,Adventure Drama Slice of Life,78.0,TV,7086,Nobody's Boy Remi
2876,Winds of Change,Hoshi no Orpheus,Drama Fantasy,43.0,MOVIE,618,Winds of Change
2920,Tomorrow's Joe: The Movie,Ashita no Joe (Movie),Action Drama Slice of Life Sports,66.0,MOVIE,2388,Tomorrow's Joe: The Movie
2921,Tomorrow's Joe 2,Ashita no Joe 2,Action Drama Slice of Life Sports,88.0,TV,19206,Tomorrow's Joe 2
3044,Astro Boy (1980),Tetsuwan Atom (1980),Action Adventure Mecha Sci-Fi,68.0,TV,4138,Astro Boy (1980)
3067,Farewell to Space Battleship Yamato: In the Name of Love,Saraba Uchuu Senkan Yamato: Ai no Senshitachi,Action Drama Sci-Fi,68.0,MOVIE,1753,Farewell to Space Battleship Yamato: In the Name of Love
3069,Be Forever Yamato,Yamato yo Towa ni,Adventure Drama Sci-Fi,65.0,MOVIE,1615,Be Forever Yamato
3071,Space Battleship Yamato: The New Voyage,Uchuu Senkan Yamato: Aratanaru Tabidachi,Drama Sci-Fi,61.0,SPECIAL,1588,Space Battleship Yamato: The New Voyage
3153,Gatchaman: The Movie,Kagaku Ninja-Tai Gatchaman (Movie),Action Adventure Sci-Fi,55.0,MOVIE,680,Gatchaman: The Movie
3175,Undersea Super Train: Marine Express,Keitei Chou Tokyuu Marine Express,Action Adventure Comedy Drama Sci-Fi,58.0,SPECIAL,933,Undersea Super Train: Marine Express
3294,Combining Squadron Mechander Robo,Gasshin Sentai Mechander Robo,Mecha Mystery Sci-Fi,56.0,TV,557,Combining Squadron Mechander Robo
3335,Smart-san,Haikara-san ga Tooru,Drama Romance Slice of Life,67.0,TV,2510,Smart-san
3435,Charlotte Holmes,Joou Heika no Petite Angie,Mystery,62.0,TV,694,Charlotte Holmes
3727,Doraemon: Nobita's Dinosaur,Doraemon: Nobita no Kyouryuu,Adventure Comedy,69.0,MOVIE,3720,Doraemon: Nobita's Dinosaur
3751,Twelve Months,Sekai Meisaku Douwa: Mori wa Ikiteiru,Fantasy,61.0,MOVIE,1002,Twelve Months
3752,Puss-in-Boots: Travels Around the World in 80 Days,Nagagutsu wo Haita Neko: 80 Nichikan Sekai Isshuu,Adventure Fantasy,64.0,MOVIE,729,Puss-in-Boots: Travels Around the World in 80 Days
3755,World's Famous Stories for Children: Thumb Princess,Sekai Meisaku Douwa: Oyayubi Hime,Fantasy,55.0,MOVIE,481,World's Famous Stories for Children: Thumb Princess
3800,Grand Prix,Arrow Emblem: Grand Prix no Taka,Drama Sports,60.0,TV,826,Grand Prix
3801,Dracula: Sovereign of the Damned,Yami no Teio: Kyuuketsuki Dracula,Drama Horror Romance Supernatural,39.0,SPECIAL,1753,Dracula: Sovereign of the Damned
3810,The Littl' Bits,Mori no Youki na Kobito-tachi: Belfy to Lillibit,Adventure Comedy,54.0,TV,655,The Littl' Bits
3811,The Adventures of the Little Prince,Hoshi no Ouji-sama: Petit Prince,Adventure,55.0,TV,1046,The Adventures of the Little Prince
